"catchments" "value"
"365125" 365136
"365126" 365120
"365128" 365130
"365129" 365133
"365134" 365135
"359094" 359074
"359136" 359234
"359149" 359131
"359174" 359095
"359177" 359136
"359209" 359136
"359211" 359183
"359218" 359136
"359229" 359136
"359233" 359136
"359245" 359558
"359246" 359323
"359248" 359136
"359263" 359131
"359292" 359300
"359295" 359303
"359303" 359346
"359313" 359310
"359323" 359327
"359329" 359310
"359330" 359136
"359342" 359295
"359349" 359295
"359351" 359295
"359352" 359295
"359365" 359394
"359375" 359136
"359390" 359421
"359397" 359402
"359438" 359310
"359453" 359336
"359457" 359463
"359465" 359310
"359467" 359604
"359480" 359136
"359487" 359488
"359504" 359468
"359505" 359310
"359511" 359461
"359528" 359584
"359530" 359553
"359533" 359295
"359541" 359336
"359565" 359669
"359566" 359336
"359567" 359692
"359568" 359373
"359577" 359580
"359584" 359690
"359587" 359336
"359588" 359568
"359598" 359599
"359599" 359451
"359606" 359441
"359607" 359136
"359610" 359568
"359614" 359599
"359634" 359683
"359635" 359295
"359636" 359295
"359640" 359464
"359642" 359568
"359651" 359531
"359655" 359800
"359660" 359568
"359663" 359606
"359664" 359531
"359673" 359671
"359682" 359336
"359688" 359656
"359701" 326299
"359707" 359763
"359709" 359712
"359713" 359531
"359718" 359136
"359722" 359677
"359727" 359849
"359734" 359295
"359744" 359780
"359747" 359531
"359755" 359531
"359759" 359136
"359761" 359606
"359762" 359598
"359763" 359790
"359770" 359727
"359772" 359295
"359776" 359531
"359780" 359630
"359781" 359866
"359783" 359846
"359788" 359744
"359792" 359531
"359793" 359531
"359795" 359568
"359796" 359956
"359800" 360033
"359802" 359803
"359814" 359295
"359816" 359136
"359818" 359295
"359819" 359844
"359820" 359737
"359821" 359965
"359822" 359807
"359823" 359295
"359824" 359819
"359829" 359727
"359835" 359606
"359841" 359531
"359842" 359136
"359852" 360050
"359854" 359991
"359860" 359859
"359863" 359895
"359866" 359929
"359867" 360076
"359875" 359599
"359880" 359136
"359887" 359568
"359888" 359568
"359889" 359531
"359895" 359766
"359896" 359295
"359902" 359295
"359903" 359863
"359906" 359727
"359909" 359857
"359910" 359598
"359917" 359136
"359923" 359295
"359927" 359295
"359933" 359295
"359935" 360107
"359938" 359295
"359943" 359727
"359949" 359295
"359953" 359908
"359956" 360174
"359961" 359953
"359964" 359295
"359966" 359295
"359976" 359136
"359978" 359727
"359986" 359295
"359991" 360123
"359992" 359873
"359995" 359959
"360002" 360179
"360013" 360080
